order_line_id,order_id,customer_id,customer_name,region,segment,email,order_date,order_month,channel,status,include_in_sales_kpi,product_id,product_name,category,list_price,quantity,unit_price,discount_rate,return_events,latest_return_date,gross_sales,discounts,sales_before_returns,refunds,net_sales,sold_units,returned_units,line_source_row,order_source_row,customer_source_row,product_source_row
L000038,O00016,C0275,Customer 0275,East,Business,customer275@example.com,2025-06-01,2025-06,Store,Completed,True,P016,Desk 016,Furniture,231.00,3,231.00,0.05,0,,693.00,34.6500,658.3500,0.0000,658.3500,3,0,39,17,276,17
L000039,O00016,C0275,Customer 0275,East,Business,customer275@example.com,2025-06-01,2025-06,Store,Completed,True,P021,Lamp 021,Lighting,249.00,2,249.00,0.05,0,,498.00,24.9000,473.1000,0.0000,473.1000,2,0,40,17,276,22
L000040,O00017,C0135,Customer 0135,West,Consumer,customer135@example.com,2025-09-30,2025-09,Store,Completed,True,P012,Desk 012,Furniture,134.00,3,134.00,0.20,0,,402.00,80.4000,321.6000,0.0000,321.6000,3,0,41,18,136,13
L000041,O00017,C0135,Customer 0135,West,Consumer,customer135@example.com,2025-09-30,2025-09,Store,Completed,True,P024,Desk 024,Furniture,81.00,2,81.00,0.05,0,,162.00,8.1000,153.9000,0.0000,153.9000,2,0,42,18,136,25
L000042,O00017,C0135,Customer 0135,West,Consumer,customer135@example.com,2025-09-30,2025-09,Store,Completed,True,P002,Chair 002,Furniture,284.00,5,284.00,0.05,0,,1420.00,71.0000,1349.0000,0.0000,1349.0000,5,0,43,18,136,3
L000043,O00018,C0212,Customer 0212,East,Consumer,customer212@example.com,2025-02-24,2025-02,Online,Completed,True,P005,Lamp 005,Lighting,65.00,5,65.00,0.00,0,,325.00,0.0000,325.0000,0.0000,325.0000,5,0,44,19,213,6
L000044,O00018,C0212,Customer 0212,East,Consumer,customer212@example.com,2025-02-24,2025-02,Online,Completed,True,P012,Desk 012,Furniture,134.00,3,134.00,0.00,0,,402.00,0.0000,402.0000,0.0000,402.0000,3,0,45,19,213,13
L000045,O00018,C0212,Customer 0212,East,Consumer,customer212@example.com,2025-02-24,2025-02,Online,Completed,True,P020,Desk 020,Furniture,189.00,3,189.00,0.05,1,2025-03-05,567.00,28.3500,538.6500,359.1000,179.5500,3,2,46,19,213,21
L000046,O00019,C0117,Customer 0117,North,Consumer,customer117@example.com,2025-11-01,2025-11,Online,Completed,True,P015,Shelf 015,Storage,254.00,3,254.00,0.05,0,,762.00,38.1000,723.9000,0.0000,723.9000,3,0,47,20,118,16
L000047,O00020,C0076,Customer 0076,East,Consumer,customer76@example.com,2025-03-24,2025-03,Store,Completed,True,P010,Chair 010,Furniture,211.00,2,211.00,0.00,1,2025-03-26,422.00,0.0000,422.0000,422.0000,0.0000,2,2,48,21,77,11
L000048,O00020,C0076,Customer 0076,East,Consumer,customer76@example.com,2025-03-24,2025-03,Store,Completed,True,P016,Desk 016,Furniture,231.00,2,231.00,0.10,0,,462.00,46.2000,415.8000,0.0000,415.8000,2,0,49,21,77,17
L000049,O00020,C0076,Customer 0076,East,Consumer,customer76@example.com,2025-03-24,2025-03,Store,Completed,True,P009,Lamp 009,Lighting,93.00,4,93.00,0.00,0,,372.00,0.0000,372.0000,0.0000,372.0000,4,0,50,21,77,10
L000050,O00021,C0298,Customer 0298,North,Business,customer298@example.com,2025-09-06,2025-09,Store,Completed,True,P022,Chair 022,Furniture,134.00,1,134.00,0.10,0,,134.00,13.4000,120.6000,0.0000,120.6000,1,0,51,22,299,23
L000051,O00021,C0298,Customer 0298,North,Business,customer298@example.com,2025-09-06,2025-09,Store,Completed,True,P008,Desk 008,Furniture,188.00,3,188.00,0.20,0,,564.00,112.8000,451.2000,0.0000,451.2000,3,0,52,22,299,9
L000052,O00022,C0058,Customer 0058,North,Consumer,customer58@example.com,2025-10-21,2025-10,Store,Completed,True,P009,Lamp 009,Lighting,93.00,5,93.00,0.10,1,2025-10-31,465.00,46.5000,418.5000,83.7000,334.8000,5,1,53,23,59,10
L000053,O00022,C0058,Customer 0058,North,Consumer,customer58@example.com,2025-10-21,2025-10,Store,Completed,True,P011,Shelf 011,Storage,80.00,3,80.00,0.10,0,,240.00,24.0000,216.0000,0.0000,216.0000,3,0,54,23,59,12
L000054,O00022,C0058,Customer 0058,North,Consumer,customer58@example.com,2025-10-21,2025-10,Store,Completed,True,P012,Desk 012,Furniture,134.00,4,134.00,0.00,0,,536.00,0.0000,536.0000,0.0000,536.0000,4,0,55,23,59,13
L000055,O00023,C0152,Customer 0152,West,Business,customer152@example.com,2025-03-04,2025-03,Online,Completed,True,P023,Shelf 023,Storage,68.00,3,68.00,0.05,0,,204.00,10.2000,193.8000,0.0000,193.8000,3,0,56,24,153,24
L000056,O00023,C0152,Customer 0152,West,Business,customer152@example.com,2025-03-04,2025-03,Online,Completed,True,P011,Shelf 011,Storage,80.00,2,80.00,0.10,0,,160.00,16.0000,144.0000,0.0000,144.0000,2,0,57,24,153,12
L000057,O00024,C0047,Customer 0047,West,Consumer,customer47@example.com,2025-05-10,2025-05,Online,Cancelled,False,P001,Lamp 001,Lighting,122.00,4,122.00,0.00,0,,488.00,0.0000,488.0000,0.0000,488.0000,4,0,58,25,48,2
L000058,O00024,C0047,Customer 0047,West,Consumer,customer47@example.com,2025-05-10,2025-05,Online,Cancelled,False,P006,Chair 006,Furniture,196.00,3,196.00,0.20,0,,588.00,117.6000,470.4000,0.0000,470.4000,3,0,59,25,48,7
L000059,O00025,C0085,Customer 0085,South,Consumer,customer85@example.com,2025-12-03,2025-12,Online,Completed,True,P015,Shelf 015,Storage,254.00,4,254.00,0.05,0,,1016.00,50.8000,965.2000,0.0000,965.2000,4,0,60,26,86,16
L000060,O00026,C0062,Customer 0062,West,Business,customer62@example.com,2025-05-16,2025-05,Store,Completed,True,P011,Shelf 011,Storage,80.00,1,80.00,0.20,0,,80.00,16.0000,64.0000,0.0000,64.0000,1,0,61,27,63,12
L000061,O00026,C0062,Customer 0062,West,Business,customer62@example.com,2025-05-16,2025-05,Store,Completed,True,P008,Desk 008,Furniture,188.00,1,188.00,0.00,0,,188.00,0.0000,188.0000,0.0000,188.0000,1,0,62,27,63,9
L000062,O00027,C0149,Customer 0149,East,Business,customer149@example.com,2025-05-19,2025-05,Online,Completed,True,P017,Lamp 017,Lighting,300.00,1,300.00,0.05,0,,300.00,15.0000,285.0000,0.0000,285.0000,1,0,63,28,150,18
L000063,O00027,C0149,Customer 0149,East,Business,customer149@example.com,2025-05-19,2025-05,Online,Completed,True,P001,Lamp 001,Lighting,122.00,5,122.00,0,0,,610.00,0.00,610.00,0.00,610.00,5,0,64,28,150,2
L000064,O00028,C0042,Customer 0042,South,Consumer,customer42@example.com,2025-04-22,2025-04,Store,Completed,True,P010,Chair 010,Furniture,211.00,3,211.00,0.00,0,,633.00,0.0000,633.0000,0.0000,633.0000,3,0,65,29,43,11
L000065,O00028,C0042,Customer 0042,South,Consumer,customer42@example.com,2025-04-22,2025-04,Store,Completed,True,P003,Shelf 003,Storage,199.00,1,199.00,0.00,0,,199.00,0.0000,199.0000,0.0000,199.0000,1,0,66,29,43,4
L000066,O00028,C0042,Customer 0042,South,Consumer,customer42@example.com,2025-04-22,2025-04,Store,Completed,True,P024,Desk 024,Furniture,81.00,3,81.00,0.05,0,,243.00,12.1500,230.8500,0.0000,230.8500,3,0,67,29,43,25
L000067,O00029,C0001,Customer 0001,East,Business,,2025-11-30,2025-11,Store,Completed,True,P016,Desk 016,Furniture,231.00,2,231.00,0.05,0,,462.00,23.1000,438.9000,0.0000,438.9000,2,0,68,30,2,17
L000068,O00029,C0001,Customer 0001,East,Business,,2025-11-30,2025-11,Store,Completed,True,P019,Shelf 019,Storage,78.00,4,78.00,0.00,0,,312.00,0.0000,312.0000,0.0000,312.0000,4,0,69,30,2,20
L000069,O00030,C0025,Customer 0025,East,Business,customer25@example.com,2025-12-11,2025-12,Online,Completed,True,P017,Lamp 017,Lighting,300.00,1,300.00,0.00,0,,300.00,0.0000,300.0000,0.0000,300.0000,1,0,70,31,26,18
L000070,O00030,C0025,Customer 0025,East,Business,customer25@example.com,2025-12-11,2025-12,Online,Completed,True,P005,Lamp 005,Lighting,65.00,5,65.00,0.20,0,,325.00,65.0000,260.0000,0.0000,260.0000,5,0,71,31,26,6
L000071,O00030,C0025,Customer 0025,East,Business,customer25@example.com,2025-12-11,2025-12,Online,Completed,True,P023,Shelf 023,Storage,68.00,2,68.00,0.20,0,,136.00,27.2000,108.8000,0.0000,108.8000,2,0,72,31,26,24
L000072,O00030,C0025,Customer 0025,East,Business,customer25@example.com,2025-12-11,2025-12,Online,Completed,True,P008,Desk 008,Furniture,188.00,5,188.00,0.00,0,,940.00,0.0000,940.0000,0.0000,940.0000,5,0,73,31,26,9
L000073,O00031,C0142,Customer 0142,West,Business,customer142@example.com,2025-11-08,2025-11,Store,Completed,True,P008,Desk 008,Furniture,188.00,4,188.00,0.20,0,,752.00,150.4000,601.6000,0.0000,601.6000,4,0,74,32,143,9
L000074,O00032,C0156,Customer 0156,South,Consumer,customer156@example.com,2025-08-06,2025-08,Store,Cancelled,False,P022,Chair 022,Furniture,134.00,2,134.00,0.10,0,,268.00,26.8000,241.2000,0.0000,241.2000,2,0,75,33,157,23
L000075,O00032,C0156,Customer 0156,South,Consumer,customer156@example.com,2025-08-06,2025-08,Store,Cancelled,False,P017,Lamp 017,Lighting,300.00,3,300.00,0.05,0,,900.00,45.0000,855.0000,0.0000,855.0000,3,0,76,33,157,18
L000076,O00032,C0156,Customer 0156,South,Consumer,customer156@example.com,2025-08-06,2025-08,Store,Cancelled,False,P009,Lamp 009,Lighting,93.00,2,93.00,0.20,0,,186.00,37.2000,148.8000,0.0000,148.8000,2,0,77,33,157,10
L000077,O00033,C0298,Customer 0298,North,Business,customer298@example.com,2025-10-26,2025-10,Store,Cancelled,False,P019,Shelf 019,Storage,78.00,4,78.00,0.20,0,,312.00,62.4000,249.6000,0.0000,249.6000,4,0,78,34,299,20
L000078,O00033,C0298,Customer 0298,North,Business,customer298@example.com,2025-10-26,2025-10,Store,Cancelled,False,P021,Lamp 021,Lighting,249.00,1,249.00,0.05,0,,249.00,12.4500,236.5500,0.0000,236.5500,1,0,79,34,299,22
L000079,O00033,C0298,Customer 0298,North,Business,customer298@example.com,2025-10-26,2025-10,Store,Cancelled,False,P017,Lamp 017,Lighting,300.00,1,300.00,0.05,0,,300.00,15.0000,285.0000,0.0000,285.0000,1,0,80,34,299,18
L000080,O00033,C0298,Customer 0298,North,Business,customer298@example.com,2025-10-26,2025-10,Store,Cancelled,False,P007,Shelf 007,Storage,35.00,1,35.00,0.05,0,,35.00,1.7500,33.2500,0.0000,33.2500,1,0,81,34,299,8
L000081,O00034,C0080,Customer 0080,East,Consumer,customer80@example.com,2025-05-28,2025-05,Online,Completed,True,P024,Desk 024,Furniture,81.00,5,81.00,0.20,0,,405.00,81.0000,324.0000,0.0000,324.0000,5,0,82,35,81,25
L000082,O00035,C0106,Customer 0106,East,Business,customer106@example.com,2025-01-03,2025-01,Online,Completed,True,P003,Shelf 003,Storage,199.00,2,199.00,0.05,0,,398.00,19.9000,378.1000,0.0000,378.1000,2,0,83,36,107,4
L000083,O00036,C0212,Customer 0212,East,Consumer,customer212@example.com,2025-04-16,2025-04,Online,Completed,True,P019,Shelf 019,Storage,78.00,1,78.00,0.00,0,,78.00,0.0000,78.0000,0.0000,78.0000,1,0,84,37,213,20
L000084,O00036,C0212,Customer 0212,East,Consumer,customer212@example.com,2025-04-16,2025-04,Online,Completed,True,P004,Desk 004,Furniture,123.00,5,123.00,0.20,0,,615.00,123.0000,492.0000,0.0000,492.0000,5,0,85,37,213,5
L000085,O00036,C0212,Customer 0212,East,Consumer,customer212@example.com,2025-04-16,2025-04,Online,Completed,True,P023,Shelf 023,Storage,68.00,4,68.00,0.10,0,,272.00,27.2000,244.8000,0.0000,244.8000,4,0,86,37,213,24
L000086,O00036,C0212,Customer 0212,East,Consumer,customer212@example.com,2025-04-16,2025-04,Online,Completed,True,P015,Shelf 015,Storage,254.00,3,254.00,0.20,0,,762.00,152.4000,609.6000,0.0000,609.6000,3,0,87,37,213,16
L000087,O00037,C0157,Customer 0157,West,Business,customer157@example.com,2025-06-21,2025-06,Online,Completed,True,P004,Desk 004,Furniture,123.00,3,123.00,0.05,1,2025-07-04,369.00,18.4500,350.5500,116.8500,233.7000,3,1,88,38,158,5
L000088,O00037,C0157,Customer 0157,West,Business,customer157@example.com,2025-06-21,2025-06,Online,Completed,True,P016,Desk 016,Furniture,231.00,3,231.00,0.00,0,,693.00,0.0000,693.0000,0.0000,693.0000,3,0,89,38,158,17
L000089,O00037,C0157,Customer 0157,West,Business,customer157@example.com,2025-06-21,2025-06,Online,Completed,True,P008,Desk 008,Furniture,188.00,3,188.00,0.00,0,,564.00,0.0000,564.0000,0.0000,564.0000,3,0,90,38,158,9
L000090,O00037,C0157,Customer 0157,West,Business,customer157@example.com,2025-06-21,2025-06,Online,Completed,True,P011,Shelf 011,Storage,80.00,3,80.00,0.10,0,,240.00,24.0000,216.0000,0.0000,216.0000,3,0,91,38,158,12
L000091,O00038,C0195,Customer 0195,West,Business,customer195@example.com,2025-02-27,2025-02,Store,Completed,True,P007,Shelf 007,Storage,35.00,1,35.00,0.05,0,,35.00,1.7500,33.2500,0.0000,33.2500,1,0,92,39,196,8
L000092,O00039,C0062,Customer 0062,West,Business,customer62@example.com,2025-01-31,2025-01,Online,Completed,True,P006,Chair 006,Furniture,196.00,3,196.00,0.05,0,,588.00,29.4000,558.6000,0.0000,558.6000,3,0,93,40,63,7
L000093,O00040,C0276,Customer 0276,South,Business,customer276@example.com,2025-08-08,2025-08,Store,Completed,True,P007,Shelf 007,Storage,35.00,5,35.00,0.00,0,,175.00,0.0000,175.0000,0.0000,175.0000,5,0,94,41,277,8
L000094,O00040,C0276,Customer 0276,South,Business,customer276@example.com,2025-08-08,2025-08,Store,Completed,True,P009,Lamp 009,Lighting,93.00,1,93.00,0.05,1,2025-09-01,93.00,4.6500,88.3500,88.3500,0.0000,1,1,95,41,277,10
L000095,O00040,C0276,Customer 0276,South,Business,customer276@example.com,2025-08-08,2025-08,Store,Completed,True,P014,Chair 014,Furniture,294.00,3,294.00,0.10,0,,882.00,88.2000,793.8000,0.0000,793.8000,3,0,96,41,277,15
L000096,O00041,C0184,Customer 0184,West,Business,customer184@example.com,2025-10-15,2025-10,Store,Cancelled,False,P010,Chair 010,Furniture,211.00,1,211.00,0.10,0,,211.00,21.1000,189.9000,0.0000,189.9000,1,0,97,42,185,11
L000097,O00041,C0184,Customer 0184,West,Business,customer184@example.com,2025-10-15,2025-10,Store,Cancelled,False,P008,Desk 008,Furniture,188.00,3,188.00,0.10,0,,564.00,56.4000,507.6000,0.0000,507.6000,3,0,98,42,185,9
L000098,O00041,C0184,Customer 0184,West,Business,customer184@example.com,2025-10-15,2025-10,Store,Cancelled,False,P015,Shelf 015,Storage,254.00,1,254.00,0.20,0,,254.00,50.8000,203.2000,0.0000,203.2000,1,0,99,42,185,16
L000099,O00042,C0241,Customer 0241,North,Consumer,customer241@example.com,2025-06-25,2025-06,Online,Completed,True,P021,Lamp 021,Lighting,249.00,2,249.00,0.05,0,,498.00,24.9000,473.1000,0.0000,473.1000,2,0,100,43,242,22
L000100,O00042,C0241,Customer 0241,North,Consumer,customer241@example.com,2025-06-25,2025-06,Online,Completed,True,P003,Shelf 003,Storage,199.00,5,199.00,0.20,0,,995.00,199.0000,796.0000,0.0000,796.0000,5,0,101,43,242,4
L000101,O00043,C0259,Customer 0259,North,Business,customer259@example.com,2025-08-14,2025-08,Online,Completed,True,P019,Shelf 019,Storage,78.00,2,78.00,0.05,0,,156.00,7.8000,148.2000,0.0000,148.2000,2,0,102,44,260,20
L000102,O00044,C0290,Customer 0290,South,Business,,2025-10-04,2025-10,Store,Completed,True,P014,Chair 014,Furniture,294.00,5,294.00,0.00,0,,1470.00,0.0000,1470.0000,0.0000,1470.0000,5,0,103,45,291,15
L000103,O00044,C0290,Customer 0290,South,Business,,2025-10-04,2025-10,Store,Completed,True,P001,Lamp 001,Lighting,122.00,3,122.00,0.10,0,,366.00,36.6000,329.4000,0.0000,329.4000,3,0,104,45,291,2
L000104,O00044,C0290,Customer 0290,South,Business,,2025-10-04,2025-10,Store,Completed,True,P002,Chair 002,Furniture,284.00,1,284.00,0.05,0,,284.00,14.2000,269.8000,0.0000,269.8000,1,0,105,45,291,3
L000105,O00045,C0118,Customer 0118,West,Business,customer118@example.com,2025-08-25,2025-08,Store,Completed,True,P017,Lamp 017,Lighting,300.00,2,300.00,0.05,0,,600.00,30.0000,570.0000,0.0000,570.0000,2,0,106,46,119,18
L000106,O00045,C0118,Customer 0118,West,Business,customer118@example.com,2025-08-25,2025-08,Store,Completed,True,P014,Chair 014,Furniture,294.00,1,294.00,0.00,0,,294.00,0.0000,294.0000,0.0000,294.0000,1,0,107,46,119,15
L000107,O00045,C0118,Customer 0118,West,Business,customer118@example.com,2025-08-25,2025-08,Store,Completed,True,P018,Chair 018,Furniture,269.00,2,269.00,0.05,0,,538.00,26.9000,511.1000,0.0000,511.1000,2,0,108,46,119,19
L000108,O00046,C0208,Customer 0208,East,Business,customer208@example.com,2025-04-08,2025-04,Online,Completed,True,P016,Desk 016,Furniture,231.00,4,231.00,0.05,0,,924.00,46.2000,877.8000,0.0000,877.8000,4,0,109,47,209,17
L000109,O00047,C0297,Customer 0297,East,Business,customer297@example.com,2025-06-07,2025-06,Store,Completed,True,P006,Chair 006,Furniture,196.00,4,196.00,0.05,0,,784.00,39.2000,744.8000,0.0000,744.8000,4,0,110,48,298,7
L000110,O00047,C0297,Customer 0297,East,Business,customer297@example.com,2025-06-07,2025-06,Store,Completed,True,P018,Chair 018,Furniture,269.00,5,269.00,0.05,0,,1345.00,67.2500,1277.7500,0.0000,1277.7500,5,0,111,48,298,19
L000111,O00047,C0297,Customer 0297,East,Business,customer297@example.com,2025-06-07,2025-06,Store,Completed,True,P005,Lamp 005,Lighting,65.00,1,65.00,0.10,0,,65.00,6.5000,58.5000,0.0000,58.5000,1,0,112,48,298,6
L000112,O00047,C0297,Customer 0297,East,Business,customer297@example.com,2025-06-07,2025-06,Store,Completed,True,P004,Desk 004,Furniture,123.00,2,123.00,0.00,0,,246.00,0.0000,246.0000,0.0000,246.0000,2,0,113,48,298,5
