customer_id,customer_name,region,segment,email
C0058,Customer 0058,North,Consumer,customer58@example.com
C0059,Customer 0059,South,Business,customer59@example.com
C0060,Customer 0060,South,Business,customer60@example.com
C0061,Customer 0061,East,Business,customer61@example.com
C0062,Customer 0062,West,Business,customer62@example.com
C0063,Customer 0063,West,Consumer,customer63@example.com
C0064,Customer 0064,North,Business,customer64@example.com
C0065,Customer 0065,East,Consumer,customer65@example.com
C0066,Customer 0066, north ,Business,customer66@example.com
C0067,Customer 0067,East,Business,customer67@example.com
C0068,Customer 0068,West,Consumer,customer68@example.com
C0069,Customer 0069,South,Business,
C0070,Customer 0070,West,Business,customer70@example.com
C0071,Customer 0071,West,Consumer,customer71@example.com
C0072,Customer 0072,South,Business,customer72@example.com
C0073,Customer 0073,South,Business,customer73@example.com
C0074,Customer 0074,South,Business,customer74@example.com
C0075,Customer 0075,South,Business,customer75@example.com
C0076,Customer 0076,East,Consumer,customer76@example.com
C0077,Customer 0077,West,Consumer,customer77@example.com
C0078,Customer 0078,West,Consumer,customer78@example.com
C0079,Customer 0079, west ,Business,customer79@example.com
C0080,Customer 0080,East,Consumer,customer80@example.com
C0081,Customer 0081,North,Consumer,customer81@example.com
C0082,Customer 0082,North,Business,customer82@example.com
C0083,Customer 0083,West,Consumer,customer83@example.com
C0084,Customer 0084,West,Business,customer84@example.com
C0085,Customer 0085,South,Consumer,customer85@example.com
C0086,Customer 0086,North,Business,
C0087,Customer 0087,North,Business,customer87@example.com
C0088,Customer 0088,West,Business,customer88@example.com
C0089,Customer 0089,South,Business,customer89@example.com
C0090,Customer 0090,West,Business,customer90@example.com
C0091,Customer 0091,North,Business,customer91@example.com
C0092,Customer 0092, east ,Consumer,customer92@example.com
C0093,Customer 0093,North,Consumer,customer93@example.com
C0094,Customer 0094,West,Consumer,customer94@example.com
C0095,Customer 0095,East,Consumer,customer95@example.com
C0096,Customer 0096,North,Consumer,customer96@example.com
C0097,Customer 0097,West,Business,customer97@example.com
C0098,Customer 0098,West,Business,customer98@example.com
C0099,Customer 0099,West,Consumer,customer99@example.com
C0100,Customer 0100,West,Consumer,customer100@example.com
C0101,Customer 0101,South,Business,customer101@example.com
C0102,Customer 0102,North,Consumer,customer102@example.com
C0103,Customer 0103,West,Consumer,
C0104,Customer 0104,North,Business,customer104@example.com
C0105,Customer 0105, south ,Business,customer105@example.com
C0106,Customer 0106,East,Business,customer106@example.com
C0107,Customer 0107,South,Consumer,customer107@example.com
C0108,Customer 0108,East,Business,customer108@example.com
C0109,Customer 0109,West,Business,customer109@example.com
C0110,Customer 0110,West,Consumer,customer110@example.com
C0111,Customer 0111,South,Business,customer111@example.com
C0112,Customer 0112,South,Business,customer112@example.com
C0113,Customer 0113,South,Consumer,customer113@example.com
C0114,Customer 0114,North,Business,customer114@example.com
C0115,Customer 0115,North,Consumer,customer115@example.com
C0116,Customer 0116,West,Business,customer116@example.com
C0117,Customer 0117,North,Consumer,customer117@example.com
C0118,Customer 0118, west ,Business,customer118@example.com
C0119,Customer 0119,North,Business,customer119@example.com
C0120,Customer 0120,South,Consumer,
C0121,Customer 0121,West,Business,customer121@example.com
C0122,Customer 0122,North,Business,customer122@example.com
C0123,Customer 0123,East,Consumer,customer123@example.com
C0124,Customer 0124,East,Consumer,customer124@example.com
C0125,Customer 0125,South,Business,customer125@example.com
C0126,Customer 0126,South,Business,customer126@example.com
C0127,Customer 0127,East,Business,customer127@example.com
C0128,Customer 0128,West,Business,customer128@example.com
C0129,Customer 0129,North,Business,customer129@example.com
C0130,Customer 0130,West,Business,customer130@example.com
C0131,Customer 0131, west ,Business,customer131@example.com
C0132,Customer 0132,North,Consumer,customer132@example.com
C0133,Customer 0133,South,Consumer,customer133@example.com
C0134,Customer 0134,North,Consumer,customer134@example.com
C0135,Customer 0135,West,Consumer,customer135@example.com
C0136,Customer 0136,West,Consumer,customer136@example.com
C0137,Customer 0137,South,Consumer,
C0138,Customer 0138,South,Business,customer138@example.com
C0139,Customer 0139,North,Business,customer139@example.com
C0140,Customer 0140,East,Consumer,customer140@example.com
C0141,Customer 0141,East,Consumer,customer141@example.com
C0142,Customer 0142,West,Business,customer142@example.com
C0143,Customer 0143,West,Business,customer143@example.com
C0144,Customer 0144, north ,Consumer,customer144@example.com
C0145,Customer 0145,West,Business,customer145@example.com
C0146,Customer 0146,South,Consumer,customer146@example.com
C0147,Customer 0147,East,Business,customer147@example.com
C0148,Customer 0148,East,Consumer,customer148@example.com
C0149,Customer 0149,East,Business,customer149@example.com
C0150,Customer 0150,West,Business,customer150@example.com
C0151,Customer 0151,South,Business,customer151@example.com
C0152,Customer 0152,West,Business,customer152@example.com
C0153,Customer 0153,East,Business,customer153@example.com
C0154,Customer 0154,North,Business,
C0155,Customer 0155,South,Business,customer155@example.com
C0156,Customer 0156,South,Consumer,customer156@example.com
C0157,Customer 0157, west ,Business,customer157@example.com
C0158,Customer 0158,East,Consumer,customer158@example.com
C0159,Customer 0159,West,Business,customer159@example.com
C0160,Customer 0160,West,Business,customer160@example.com
C0161,Customer 0161,West,Consumer,customer161@example.com
C0162,Customer 0162,South,Consumer,customer162@example.com
C0163,Customer 0163,South,Consumer,customer163@example.com
C0164,Customer 0164,East,Consumer,customer164@example.com
C0165,Customer 0165,West,Consumer,customer165@example.com
C0166,Customer 0166,North,Business,customer166@example.com
C0167,Customer 0167,West,Consumer,customer167@example.com
C0168,Customer 0168,North,Business,customer168@example.com
C0169,Customer 0169,North,Consumer,customer169@example.com
C0170,Customer 0170, east ,Business,customer170@example.com
C0171,Customer 0171,South,Business,
C0172,Customer 0172,North,Consumer,customer172@example.com
C0173,Customer 0173,West,Consumer,customer173@example.com
C0174,Customer 0174,South,Consumer,customer174@example.com
C0175,Customer 0175,North,Consumer,customer175@example.com
C0176,Customer 0176,North,Consumer,customer176@example.com
C0177,Customer 0177,West,Business,customer177@example.com
C0178,Customer 0178,East,Consumer,customer178@example.com
C0179,Customer 0179,East,Consumer,customer179@example.com
C0180,Customer 0180,West,Consumer,customer180@example.com
C0181,Customer 0181,West,Business,customer181@example.com
C0182,Customer 0182,West,Business,customer182@example.com
C0183,Customer 0183, east ,Consumer,customer183@example.com
C0184,Customer 0184,West,Business,customer184@example.com
C0185,Customer 0185,North,Consumer,customer185@example.com
C0186,Customer 0186,North,Consumer,customer186@example.com
C0187,Customer 0187,North,Business,customer187@example.com
C0188,Customer 0188,South,Business,
C0189,Customer 0189,North,Consumer,customer189@example.com
C0190,Customer 0190,North,Business,customer190@example.com
C0191,Customer 0191,North,Consumer,customer191@example.com
C0192,Customer 0192,South,Business,customer192@example.com
C0193,Customer 0193,East,Consumer,customer193@example.com
C0194,Customer 0194,North,Consumer,customer194@example.com
C0195,Customer 0195,West,Business,customer195@example.com
C0196,Customer 0196, west ,Consumer,customer196@example.com
C0197,Customer 0197,East,Business,customer197@example.com
C0198,Customer 0198,West,Consumer,customer198@example.com
C0199,Customer 0199,North,Consumer,customer199@example.com
C0200,Customer 0200,West,Consumer,customer200@example.com
C0201,Customer 0201,East,Consumer,customer201@example.com
C0202,Customer 0202,South,Business,customer202@example.com
C0203,Customer 0203,South,Business,customer203@example.com
C0204,Customer 0204,South,Consumer,customer204@example.com
C0205,Customer 0205,West,Business,
C0206,Customer 0206,West,Business,customer206@example.com
C0207,Customer 0207,South,Consumer,customer207@example.com
C0208,Customer 0208,East,Business,customer208@example.com
C0209,Customer 0209, west ,Business,customer209@example.com
C0210,Customer 0210,North,Consumer,customer210@example.com
C0211,Customer 0211,North,Business,customer211@example.com
C0212,Customer 0212,East,Consumer,customer212@example.com
C0213,Customer 0213,East,Business,customer213@example.com
C0214,Customer 0214,West,Business,customer214@example.com
C0215,Customer 0215,North,Consumer,customer215@example.com
C0216,Customer 0216,North,Consumer,customer216@example.com
C0217,Customer 0217,South,Business,customer217@example.com
C0218,Customer 0218,East,Business,customer218@example.com
C0219,Customer 0219,East,Consumer,customer219@example.com
C0220,Customer 0220,North,Business,customer220@example.com
C0221,Customer 0221,West,Business,customer221@example.com
C0222,Customer 0222, east ,Consumer,
C0223,Customer 0223,East,Consumer,customer223@example.com
C0224,Customer 0224,West,Consumer,customer224@example.com
C0225,Customer 0225,North,Consumer,customer225@example.com
C0226,Customer 0226,South,Business,customer226@example.com
C0227,Customer 0227,East,Consumer,customer227@example.com
C0228,Customer 0228,East,Business,customer228@example.com
C0229,Customer 0229,East,Consumer,customer229@example.com
C0230,Customer 0230,East,Consumer,customer230@example.com
C0231,Customer 0231,West,Business,customer231@example.com
C0232,Customer 0232,East,Business,customer232@example.com
C0233,Customer 0233,South,Business,customer233@example.com
C0234,Customer 0234,West,Business,customer234@example.com
C0235,Customer 0235, north ,Business,customer235@example.com
C0236,Customer 0236,West,Business,customer236@example.com
C0237,Customer 0237,South,Consumer,customer237@example.com
C0238,Customer 0238,East,Consumer,customer238@example.com
C0239,Customer 0239,South,Consumer,
C0240,Customer 0240,West,Business,customer240@example.com
C0241,Customer 0241,North,Consumer,customer241@example.com
C0242,Customer 0242,South,Business,customer242@example.com
C0243,Customer 0243,East,Business,customer243@example.com
C0244,Customer 0244,South,Consumer,customer244@example.com
C0245,Customer 0245,North,Consumer,customer245@example.com
C0246,Customer 0246,South,Consumer,customer246@example.com
C0247,Customer 0247,North,Consumer,customer247@example.com
C0248,Customer 0248, east ,Business,customer248@example.com
C0249,Customer 0249,North,Consumer,customer249@example.com
C0250,Customer 0250,West,Consumer,customer250@example.com
C0251,Customer 0251,North,Consumer,customer251@example.com
C0252,Customer 0252,West,Business,customer252@example.com
C0253,Customer 0253,North,Consumer,customer253@example.com
C0254,Customer 0254,East,Business,customer254@example.com
C0255,Customer 0255,South,Business,customer255@example.com
C0256,Customer 0256,North,Consumer,
C0257,Customer 0257,North,Business,customer257@example.com
C0258,Customer 0258,South,Business,customer258@example.com
C0259,Customer 0259,North,Business,customer259@example.com
C0260,Customer 0260,South,Consumer,customer260@example.com
C0261,Customer 0261, west ,Consumer,customer261@example.com
C0262,Customer 0262,West,Business,customer262@example.com
C0263,Customer 0263,East,Business,customer263@example.com
C0264,Customer 0264,South,Business,customer264@example.com
C0265,Customer 0265,West,Consumer,customer265@example.com
C0266,Customer 0266,North,Business,customer266@example.com
C0267,Customer 0267,West,Business,customer267@example.com
C0268,Customer 0268,North,Consumer,customer268@example.com
C0269,Customer 0269,East,Business,customer269@example.com
C0270,Customer 0270,East,Business,customer270@example.com
C0271,Customer 0271,West,Consumer,customer271@example.com
C0272,Customer 0272,West,Business,customer272@example.com
C0273,Customer 0273,South,Business,
C0274,Customer 0274, north ,Business,customer274@example.com
C0275,Customer 0275,East,Business,customer275@example.com
C0276,Customer 0276,South,Business,customer276@example.com
C0277,Customer 0277,West,Consumer,customer277@example.com
C0278,Customer 0278,North,Consumer,customer278@example.com
C0279,Customer 0279,South,Business,customer279@example.com
C0280,Customer 0280,North,Business,customer280@example.com
C0281,Customer 0281,North,Business,customer281@example.com
C0282,Customer 0282,East,Business,customer282@example.com
C0283,Customer 0283,East,Business,customer283@example.com
C0284,Customer 0284,South,Consumer,customer284@example.com
C0285,Customer 0285,East,Consumer,customer285@example.com
C0286,Customer 0286,West,Business,customer286@example.com
C0287,Customer 0287, south ,Consumer,customer287@example.com
C0288,Customer 0288,East,Consumer,customer288@example.com
C0289,Customer 0289,West,Business,customer289@example.com
C0290,Customer 0290,South,Business,
C0291,Customer 0291,North,Consumer,customer291@example.com
C0292,Customer 0292,East,Business,customer292@example.com
C0293,Customer 0293,North,Business,customer293@example.com
C0294,Customer 0294,South,Consumer,customer294@example.com
C0295,Customer 0295,West,Business,customer295@example.com
C0296,Customer 0296,East,Business,customer296@example.com
C0297,Customer 0297,East,Business,customer297@example.com
C0298,Customer 0298,North,Business,customer298@example.com
C0299,Customer 0299,North,Consumer,customer299@example.com
C0300,Customer 0300, west ,Consumer,customer300@example.com
C0001,Customer 0001, east ,Business,
C0002,Customer 0002,West,Consumer,customer2@example.com
C0003,Customer 0003,North,Business,customer3@example.com
C0004,Customer 0004,North,Consumer,customer4@example.com
